segment,text,participant,item,condition,factor1,factor2,accuracy,rt,sentence
1,The chairs,PPT01,critical_04,PS,plural,singular,1,1197,The chairs*in the office*were*sorted*by size.
2,in the office,PPT01,critical_04,PS,plural,singular,1,864,The chairs*in the office*were*sorted*by size.
3,were,PPT01,critical_04,PS,plural,singular,1,2916,The chairs*in the office*were*sorted*by size.
4,sorted,PPT01,critical_04,PS,plural,singular,1,2444,The chairs*in the office*were*sorted*by size.
5,by size.,PPT01,critical_04,PS,plural,singular,1,2228,The chairs*in the office*were*sorted*by size.
1,The tables,PPT01,critical_03,PP,plural,plural,1,972,The tables*in the cafes*were*cleaned*with bleach.
2,in the cafes,PPT01,critical_03,PP,plural,plural,1,868,The tables*in the cafes*were*cleaned*with bleach.
3,were,PPT01,critical_03,PP,plural,plural,1,2534,The tables*in the cafes*were*cleaned*with bleach.
4,cleaned,PPT01,critical_03,PP,plural,plural,1,2691,The tables*in the cafes*were*cleaned*with bleach.
5,with bleach.,PPT01,critical_03,PP,plural,plural,1,1960,The tables*in the cafes*were*cleaned*with bleach.
1,The stone,PPT01,critical_01,*SP,singular,plural,1,957,The stone*in the parks*were*covered*by grass.
2,in the parks,PPT01,critical_01,*SP,singular,plural,1,887,The stone*in the parks*were*covered*by grass.
3,were,PPT01,critical_01,*SP,singular,plural,1,2408,The stone*in the parks*were*covered*by grass.
4,covered,PPT01,critical_01,*SP,singular,plural,1,2536,The stone*in the parks*were*covered*by grass.
5,by grass.,PPT01,critical_01,*SP,singular,plural,1,1784,The stone*in the parks*were*covered*by grass.
1,The flower,PPT01,critical_02,*SS,singular,singular,1,1101,The flower*in the field*were*buried*in snow.
2,in the field,PPT01,critical_02,*SS,singular,singular,1,1152,The flower*in the field*were*buried*in snow.
3,were,PPT01,critical_02,*SS,singular,singular,1,3784,The flower*in the field*were*buried*in snow.
4,buried,PPT01,critical_02,*SS,singular,singular,1,4925,The flower*in the field*were*buried*in snow.
5,in snow.,PPT01,critical_02,*SS,singular,singular,1,2113,The flower*in the field*were*buried*in snow.
1,The flower,PPT02,critical_02,*SP,singular,plural,1,1225,The flower*in the fields*were*buried*in snow.
2,in the fields,PPT02,critical_02,*SP,singular,plural,1,998,The flower*in the fields*were*buried*in snow.
3,were,PPT02,critical_02,*SP,singular,plural,1,2704,The flower*in the fields*were*buried*in snow.
4,buried,PPT02,critical_02,*SP,singular,plural,1,2878,The flower*in the fields*were*buried*in snow.
5,in snow.,PPT02,critical_02,*SP,singular,plural,1,2964,The flower*in the fields*were*buried*in snow.
1,The chairs,PPT02,critical_04,PP,plural,plural,1,1185,The chairs*in the offices*were*sorted*by size.
2,in the offices,PPT02,critical_04,PP,plural,plural,1,972,The chairs*in the offices*were*sorted*by size.
3,were,PPT02,critical_04,PP,plural,plural,1,2482,The chairs*in the offices*were*sorted*by size.
4,sorted,PPT02,critical_04,PP,plural,plural,1,1528,The chairs*in the offices*were*sorted*by size.
5,by size.,PPT02,critical_04,PP,plural,plural,1,1105,The chairs*in the offices*were*sorted*by size.
1,The table,PPT02,critical_03,*SS,singular,singular,1,1249,The table*in the cafe*were*cleaned*with bleach.
2,in the cafe,PPT02,critical_03,*SS,singular,singular,1,1023,The table*in the cafe*were*cleaned*with bleach.
3,were,PPT02,critical_03,*SS,singular,singular,1,3928,The table*in the cafe*were*cleaned*with bleach.
4,cleaned,PPT02,critical_03,*SS,singular,singular,1,4780,The table*in the cafe*were*cleaned*with bleach.
5,with bleach.,PPT02,critical_03,*SS,singular,singular,1,1144,The table*in the cafe*were*cleaned*with bleach.
1,The stones,PPT02,critical_01,PS,plural,singular,1,1164,The stones*in the park*were*covered*by grass.
2,in the park,PPT02,critical_01,PS,plural,singular,1,1000,The stones*in the park*were*covered*by grass.
3,were,PPT02,critical_01,PS,plural,singular,1,3301,The stones*in the park*were*covered*by grass.
4,covered,PPT02,critical_01,PS,plural,singular,1,3232,The stones*in the park*were*covered*by grass.
5,by grass.,PPT02,critical_01,PS,plural,singular,1,2084,The stones*in the park*were*covered*by grass.
1,The chair,PPT03,critical_04,*SS,singular,singular,1,1029,The chair*in the office*were*sorted*by size.
2,in the office,PPT03,critical_04,*SS,singular,singular,1,1156,The chair*in the office*were*sorted*by size.
3,were,PPT03,critical_04,*SS,singular,singular,1,3185,The chair*in the office*were*sorted*by size.
4,sorted,PPT03,critical_04,*SS,singular,singular,1,2953,The chair*in the office*were*sorted*by size.
5,by size.,PPT03,critical_04,*SS,singular,singular,1,2936,The chair*in the office*were*sorted*by size.
1,The table,PPT03,critical_03,*SP,singular,plural,1,945,The table*in the cafes*were*cleaned*with bleach.
2,in the cafes,PPT03,critical_03,*SP,singular,plural,1,926,The table*in the cafes*were*cleaned*with bleach.
3,were,PPT03,critical_03,*SP,singular,plural,1,3276,The table*in the cafes*were*cleaned*with bleach.
